date,value
1569888000000,3208586.580973029
1572566400000,3208586.580973029
1575158400000,3208586.580973029
1577836800000,3208586.580973029
1580515200000,3208586.580973029
1583020800000,3208586.580973029
1585699200000,3208586.580973029
1588291200000,3208586.580973029
1590969600000,3208586.580973029
1593561600000,3208586.580973029
1596240000000,3208586.580973029
1598918400000,3208586.580973029
1601510400000,3208586.580973029
1604188800000,3208586.580973029
1606780800000,3208586.580973029
1609459200000,3208586.580973029
1612137600000,3208586.580973029
1614556800000,3208586.580973029
1617235200000,3208586.580973029
1619827200000,3208586.580973029
1622505600000,3208586.580973029
1625097600000,3208586.580973029
1627776000000,3208586.580973029
1630454400000,3208586.580973029
1633046400000,3208586.580973029
1635724800000,3208586.580973029
1638316800000,3208586.580973029
1640995200000,3208586.580973029
1643673600000,3208586.580973029
1646092800000,3208586.580973029
1648771200000,3208586.580973029
1651363200000,3208586.580973029
1654041600000,3208586.580973029
1656633600000,3208586.580973029
1659312000000,3208586.580973029
1661990400000,3208586.580973029
1664582400000,3208586.580973029
1667260800000,3208586.580973029
1669852800000,3208586.580973029
1672531200000,3208586.580973029
1675209600000,3208586.580973029
1677628800000,3208586.580973029
1680307200000,3208586.580973029
1682899200000,3208586.580973029
1685577600000,3208586.580973029
1688169600000,3208586.580973029
1690848000000,3208586.580973029
1693526400000,3208586.580973029
1696118400000,3208586.580973029
1698796800000,3208586.580973029
1701388800000,3208586.580973029
1704067200000,3208586.580973029
1706745600000,3208586.580973029
1709251200000,3208586.580973029
1711929600000,3208586.580973029
1714521600000,3208586.580973029
1717200000000,3208586.580973029
1719792000000,3208586.580973029
1722470400000,3208586.580973029
1725148800000,3208586.580973029
